"","종목코드","종목명","관리여부","종가","EPS","PER","BPS","PBR","주당배당금","배당수익률","게시물..일련번호","총카운트","시장구분","산업분류","현재가.종가.","전일대비","시가총액.원."
"1","005930","삼성전자","-",38700,"5,997","6.45","28,126","1.38",850,2.2,1617,NA,"코스피","전기전자",38700,450,231030584685000
"2","000660","SK하이닉스","-",60500,"15,073","4.01","46,449","1.3",1000,1.65,1350,NA,"코스피","전기전자",60500,-1100,44044143082500
"3","068270","셀트리온","-",222500,"3,150","70.63","19,041","11.69",0,0,1987,NA,"코스피","의약품",222500,-500,27913989592500
"4","207940","삼성바이오로직스","-",386500,"-","-","60,099","6.43",0,0,2142,NA,"코스피","의약품",386500,15500,25572772500000
"5","005380","현대차","-",118500,"14,993","7.9","242,062","0.49",4000,3.38,1591,NA,"코스피","운수장비",118500,0,25319680159500
"6","051910","LG화학","-",347000,"25,367","13.68","206,544","1.68",6000,1.73,1967,NA,"코스피","화학",347000,0,24495543021000
"7","017670","SK텔레콤","-",269500,"36,582","7.37","220,967","1.22",10000,3.71,1838,NA,"코스피","통신업",269500,3500,21760969114500
"8","015760","한국전력","-",33100,"2,023","16.36","111,660","0.3",790,2.39,1818,NA,"코스피","전기가스업",33100,600,21249010948700
"9","005490","POSCO","-",243000,"34,464","7.05","501,600","0.48",8000,3.29,1600,NA,"코스피","철강금속",243000,1500,21186400905000
"10","035420","NAVER","-",122000,"5,320","22.93","28,936","4.22",289,0.24,1937,NA,"코스피","서비스업",122000,-500,20107234190000
"11","028260","삼성물산","-",105500,"3,879","27.2","117,902","0.89",2000,1.9,1898,NA,"코스피","유통업",105500,1000,20012299536500
"12","105560","KB금융","-",46500,"8,305","5.6","81,411","0.57",1920,4.13,2080,NA,"코스피","금융업",46500,1050,19442186470500
"13","055550","신한지주","-",39600,"6,116","6.47","69,210","0.57",1450,3.66,1973,NA,"코스피","금융업",39600,550,18778303645200
"14","012330","현대모비스","-",190000,"16,558","11.47","300,935","0.63",3500,1.84,1779,NA,"코스피","운수장비",190000,1500,18495333970000
"15","034730","SK","-",260000,"30,007","8.66","192,595","1.35",4000,1.54,1931,NA,"코스피","금융업",260000,2000,18293677220000
"16","051900","LG생활건강","-",1101000,"36,199","30.42","169,155","6.51",9000,0.82,1965,NA,"코스피","화학",1101000,20000,17195634897000
"17","096770","SK이노베이션","-",179500,"22,574","7.95","192,989","0.93",8000,4.46,2062,NA,"코스피","금융업",179500,500,16597568738000
"18","032830","삼성생명","-",81600,"6,494","12.57","146,795","0.56",2000,2.45,1916,NA,"코스피","금융업",81600,100,1.632e+13
"19","018260","삼성에스디에스","-",204000,"6,856","29.75","71,833","2.84",2000,0.98,1845,NA,"코스피","서비스업",204000,5500,15785071200000
"20","006400","삼성SDI","-",219000,"9,824","22.29","159,945","1.37",1000,0.46,1640,NA,"코스피","전기전자",219000,-1500,15059432070000
"21","033780","KT&G","-",101500,"9,217","11.01","56,609","1.79",4000,3.94,1923,NA,"코스피","기타제조",101500,0,13935188445500
"22","000270","기아차","-",33700,"2,414","13.96","66,264","0.51",800,2.37,1332,NA,"코스피","운수장비",33700,650,13660744793900
"23","000810","삼성화재","-",269000,"22,731","11.83","235,548","1.14",10000,3.72,1357,NA,"코스피","금융업",269000,1000,12743831153000
"24","090430","아모레퍼시픽","-",209500,"5,711","36.68","60,186","3.48",1280,0.61,2045,NA,"코스피","화학",209500,0,12247053655000
