"","X2015.12","X2016.12"
"배당금지급(-)",NA,NA
"법인세환입",NA,NA
"법인세납부(-)",-1,-1
"중단영업관련현금흐름",NA,NA
"투자활동으로인한현금흐름",47,54
"투자활동으로인한현금유입액",71,84
"유동금융자산의감소",19,NA
"장기금융상품의감소",NA,NA
"매도가능금융자산의감소",NA,NA
"만기보유금융자산의감소",NA,NA
"장기대여금의감소",NA,NA
"파생상품의변동",NA,NA
"기타비유동금융자산의감소",NA,NA
"관계기업등지분관련투자자산의감소",NA,NA
"유형자산의감소",17,76
"무형자산의감소",NA,NA
"생물자산의감소",NA,NA
"투자부동산의감소",NA,NA
"기타투자활동으로인한현금유입액",35,8
"(투자활동으로인한현금유출액)",25,30
"유동금융자산의증가",NA,1
"장기금융상품의증가",NA,NA
"매도가능금융자산의증가",0,0
"만기보유금융자산의증가",0,0
"장기대여금의증가",NA,NA
"기타비유동금융자산의증가",6,8
"관계기업등지분관련투자자산의증가",NA,NA
"유형자산의증가",19,19
"무형자산의증가",NA,NA
"생물자산의증가",NA,NA
"투자부동산의증가",NA,NA
"기타투자활동으로인한현금유출액",0,3
"기타투자활동으로인한현금흐름",1,1
"재무활동으로인한현금흐름",17,-33
"재무활동으로인한현금유입액",31,NA
"사채의증가",NA,NA
"차입금의증가",27,NA
"미지급금의증가",NA,NA
"유동성장기부채의증가",NA,NA
"기타금융부채의증가",NA,NA
"기타부채의증가",NA,NA
"유상증자",NA,NA
"자기주식의처분",NA,NA
"주식매입선택권의행사",NA,NA
"자본구성항목의증가",4,NA
"기타재무활동으로인한현금유입액",NA,NA
"(재무활동으로인한현금유출액)",12,31
"사채의감소",NA,NA
"차입금의감소",12,31
"미지급금의감소",NA,NA
"유동성장기부채의감소",NA,NA
"기타금융부채의감소",NA,NA
"기타부채의감소",NA,NA
"유상감자",NA,NA
"자기주식의취득",NA,NA
"자본구성항목의감소",NA,NA
"기타재무활동으로인한현금유출액",NA,NA
"기타재무활동으로인한현금흐름",-2,-3
"영업투자재무활동기타현금흐름",NA,NA
"연결범위변동으로인한현금의증가",NA,NA
"환율변동효과",1,1
"현금및현금성자산의증가",-34,16
"기초현금및현금성자산",69,36
"기말현금및현금성자산",36,52
